 	X	Y
1	7.074	1.536
2	7.077	1.668
3	7.077	1.815
4	7.083	1.984
5	7.093	2.134
6	7.102	2.257
7	7.111	2.410
8	7.123	2.551
9	7.142	2.701
10	7.151	2.824
11	0	0
12	7.086	1.533
13	7.086	1.650
14	7.089	1.772
15	7.099	1.886
16	7.111	2.002
17	7.120	2.125
18	7.132	2.242
19	7.145	2.367
20	7.169	2.502
21	7.181	2.634
22	0	0
23	7.089	1.441
24	7.089	1.564
25	7.099	1.708
26	7.114	1.852
27	7.123	1.975
28	7.142	2.122
29	7.157	2.245
30	7.181	2.380
31	7.206	2.490
32	7.227	2.600
33	0	0
34	7.096	1.392
35	7.108	1.496
36	7.108	1.616
37	7.120	1.742
38	7.132	1.864
39	7.160	2.024
40	7.181	2.137
41	7.212	2.269
42	7.237	2.373
43	7.277	2.505
44	0	0
45	7.099	1.368
46	7.108	1.441
47	7.114	1.521
48	7.120	1.625
49	7.129	1.717
50	7.148	1.815
51	7.166	1.913
52	7.188	2.008
53	7.209	2.116
54	7.246	2.214
55	0	0
56	7.120	1.371
57	7.132	1.475
58	7.145	1.585
59	7.160	1.693
60	7.185	1.815
61	7.221	1.932
62	7.264	2.036
63	7.316	2.125
64	7.381	2.217
65	7.427	2.281
66	0	0
