 	X	Y
1	6.930	1.156
2	6.927	1.251
3	6.933	1.361
4	6.936	1.481
5	6.945	1.613
6	6.942	1.711
7	6.948	1.797
8	6.961	1.923
9	6.961	2.005
10	6.979	2.128
11	0	0
12	6.933	1.079
13	6.933	1.162
14	6.936	1.254
15	6.936	1.349
16	6.948	1.441
17	6.948	1.518
18	6.945	1.631
19	6.958	1.726
20	6.964	1.818
21	6.973	1.910
22	0	0
23	6.936	1.040
24	6.942	1.122
25	6.942	1.205
26	6.945	1.291
27	6.951	1.377
28	6.961	1.475
29	6.967	1.579
30	6.976	1.690
31	6.985	1.775
32	6.997	1.892
33	0	0
34	6.951	1.052
35	6.958	1.131
36	6.961	1.223
37	6.967	1.328
38	6.976	1.411
39	6.982	1.503
40	6.991	1.601
41	7.010	1.693
42	7.025	1.785
43	7.043	1.889
44	0	0
45	6.958	1.036
46	6.961	1.144
47	6.967	1.230
48	6.973	1.328
49	6.982	1.432
50	6.997	1.518
51	7.010	1.622
52	7.034	1.723
53	7.059	1.821
54	7.083	1.916
55	0	0
56	6.964	1.064
57	6.973	1.162
58	6.982	1.276
59	6.988	1.374
60	7.004	1.469
61	7.022	1.549
62	7.043	1.634
63	7.059	1.723
64	7.083	1.812
65	7.120	1.898
66	0	0	
67	6.973	1.040
68	6.985	1.144
69	6.997	1.282
70	7.013	1.401
71	7.037	1.524
72	7.062	1.653
73	7.105	1.745
74	7.145	1.840
75	7.194	1.910
76	7.231	2.002
77	0	0
