# J =   -1.00000E+00  LX =         30  LY =         30  LZ =         30
#      T             E            dE             M            dM            Cv             dCv          Khi           dKhi       Binder        dBinder         MCsize      dMCsize         L             N            calctime  
#      1             2             3             4             5             6             7              8            9            10            11             12           13            14            15            16      
   3.50000E+00  -2.39923E+00   1.76294E-04   8.80605E-01   4.33299E-05   7.58041E-01   1.04266E-02   1.90555E-05   2.81877E-07   6.66634E-01           NaN   7.72924E-01   2.88765E-03   3.00000E+01   2.70000E+04   3.95801E+01
   3.51000E+00  -2.39162E+00   1.86836E-04   8.78855E-01   4.34845E-05   7.95730E-01   1.07008E-02   2.04597E-05   2.91973E-07   6.66631E-01   3.16101E-08   7.68654E-01   2.94833E-03   3.00000E+01   2.70000E+04   3.93242E+01
   3.52000E+00  -2.38378E+00   1.92567E-04   8.77033E-01   4.59656E-05   8.11772E-01   1.12488E-02   2.08901E-05   2.95593E-07   6.66630E-01   3.94248E-08   7.69359E-01   2.88608E-03   3.00000E+01   2.70000E+04   3.93877E+01
   3.53000E+00  -2.37587E+00   1.89393E-04   8.75216E-01   4.59323E-05   7.94361E-01   1.14153E-02   2.08989E-05   2.88594E-07   6.66630E-01   1.49012E-08   7.67677E-01   2.93906E-03   3.00000E+01   2.70000E+04   3.93164E+01
   3.54000E+00  -2.36755E+00   1.84393E-04   8.73286E-01   4.53194E-05   7.81169E-01   1.14545E-02   2.08781E-05   2.88103E-07   6.66630E-01   2.35608E-08   7.63109E-01   2.82355E-03   3.00000E+01   2.70000E+04   3.90840E+01
   3.55000E+00  -2.35948E+00   1.97091E-04   8.71400E-01   4.68392E-05   8.20785E-01   1.19931E-02   2.21927E-05   3.23618E-07   6.66628E-01           NaN   7.64936E-01   2.85830E-03   3.00000E+01   2.70000E+04   3.92119E+01
   3.56000E+00  -2.35188E+00   1.97308E-04   8.69633E-01   4.79288E-05   8.18918E-01   1.18407E-02   2.24675E-05   3.16710E-07   6.66627E-01   3.16101E-08   7.56847E-01   3.00905E-03   3.00000E+01   2.70000E+04   3.87959E+01
   3.57000E+00  -2.34324E+00   2.05786E-04   8.67565E-01   4.96663E-05   8.33066E-01   1.21092E-02   2.30014E-05   3.30951E-07   6.66626E-01   4.47035E-08   7.54056E-01   2.85884E-03   3.00000E+01   2.70000E+04   3.87080E+01
   3.58000E+00  -2.33467E+00   2.01301E-04   8.65537E-01   4.72027E-05   8.38745E-01   1.17027E-02   2.36918E-05   3.36867E-07   6.66625E-01           NaN   7.50799E-01   2.81904E-03   3.00000E+01   2.70000E+04   3.85479E+01
   3.59000E+00  -2.32679E+00   1.95484E-04   8.63670E-01   4.92734E-05   8.36454E-01   1.18949E-02   2.40136E-05   3.39078E-07   6.66624E-01   3.79907E-08   7.44521E-01   2.99304E-03   3.00000E+01   2.70000E+04   3.82725E+01
   3.60000E+00  -2.31832E+00   1.98613E-04   8.61626E-01   4.87087E-05   8.22860E-01   1.18817E-02   2.39728E-05   3.71407E-07   6.66624E-01   2.98023E-08   7.46549E-01   3.04563E-03   3.00000E+01   2.70000E+04   3.83320E+01
   3.61000E+00  -2.31007E+00   2.09458E-04   8.59646E-01   5.20490E-05   8.44234E-01   1.20381E-02   2.50193E-05   3.63437E-07   6.66622E-01           NaN   7.38490E-01   2.99424E-03   3.00000E+01   2.70000E+04   3.79873E+01
   3.62000E+00  -2.30071E+00   1.99858E-04   8.57419E-01   5.32837E-05   8.81747E-01   1.25339E-02   2.63699E-05   3.69870E-07   6.66619E-01   1.05367E-08   7.35010E-01   2.96648E-03   3.00000E+01   2.70000E+04   3.78281E+01
   3.63000E+00  -2.29284E+00   2.00958E-04   8.55518E-01   5.15117E-05   8.63982E-01   1.22383E-02   2.64721E-05   3.71702E-07   6.66618E-01           NaN   7.33362E-01   2.99575E-03   3.00000E+01   2.70000E+04   3.77803E+01
   3.64000E+00  -2.28396E+00   2.06774E-04   8.53329E-01   5.01912E-05   8.77158E-01   1.30857E-02   2.68882E-05   3.77303E-07   6.66617E-01           NaN   7.28257E-01   2.99401E-03   3.00000E+01   2.70000E+04   3.74678E+01
